unique_key,case_key,source_id,pdf_sha256,route,backend_case_id,severity,fail_family,fail_flags,mute_flags,modality_flags,contradiction_flags,material_flags,source_chars,error,claim_sample
sha:0d761f8d2e28fb89af88968862d6712571f6a13ac5e1233f60a3c9a993a22866,PDF-0d761f8d2e28,CB-Z-500-FRAUD-0029_Fraud_false_representation_500_page_bundle,0d761f8d2e28fb89af88968862d6712571f6a13ac5e1233f60a3c9a993a22866,OFFLINE_CLIENT_PROJECTION,92aaa621-525b-40ae-9f0d-8e3c1eccc536,INVENT,invent_interview_recording,invent_interview_recording,mute_export_log|mute_phone_download,modality_summary_vs_recording,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_cctv_stills|src_continuity|client_claims_23,1593653,,"CLIENT_SAFE | We are reviewing the papers in your case (Fraud by false representation, s.2 Fraud Act 2006). This is early-stage — nothing is final until we have full disclosure and your instructions. Some evidence is still outstanding on th"
sha:37b18da6090e0bdfa330fcddb5cc0d83d6329c7cb641be750c29a09efce58870,PDF-37b18da6090e,CB-MURDER-TEST-0001_1000_page_criminal_defence_bundle,37b18da6090e0bdfa330fcddb5cc0d83d6329c7cb641be750c29a09efce58870,OFFLINE_CLIENT_PROJECTION,18a50e94-bda1-4e7d-a86b-8adeb5dc19b7,INVENT,invent_interview_recording,invent_interview_recording,mute_export_log|mute_cctv_master,modality_summary_vs_recording,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_cctv_stills|src_continuity|client_claims_20,1322574,,"CLIENT_SAFE | We are reviewing the papers in your case (Murder, contrary to common law). This is early-stage — nothing is final until we have full disclosure and your instructions. Some evidence is still outstanding on the papers, and we wi"
sha:f99a48ca1d39cdfbb1d2eea842ad453049f2c37b600cb6323dedb8d78d61fd98,PDF-f99a48ca1d39,CB-TB-01_Ryan_Hale,f99a48ca1d39cdfbb1d2eea842ad453049f2c37b600cb6323dedb8d78d61fd98,OFFLINE_CLIENT_PROJECTION,22c199a3-210b-49ba-ad1f-739eabe77dfe,MUTE,mute_phone_download,,mute_phone_download,,,src_charge|src_hearing|src_mg_forms|src_id_procedure|src_cctv|src_cctv_stills|src_continuity|client_claims_19,7485,,"CLIENT_SAFE | We are reviewing the papers in your case (Robbery, contrary to s.8 Theft Act 1968). This is early-stage — nothing is final until we have full disclosure and your instructions. Some evidence is still outstanding on the papers, "
sha:eeafa8f885e6afc74d3516db5551997bdab0b3cd228114a822813424551e12aa,PDF-eeafa8f885e6,CB-TEST-ABH-0001_criminal_defence_bundle,eeafa8f885e6afc74d3516db5551997bdab0b3cd228114a822813424551e12aa,OFFLINE_CLIENT_PROJECTION,bd581fec-c0ca-4c06-87bf-ba7ec18664e8,MODALITY,modality_summary_vs_recording,,mute_export_log|mute_cctv_master,modality_summary_vs_recording,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_cctv_stills|src_continuity|client_claims_19,16003,,"CLIENT_SAFE | We are reviewing the papers in your case (Assault occasioning actual bodily harm, s.47). This is early-stage — nothing is final until we have full disclosure and your instructions. What the witness describes does not fully mat"
sha:cccf70b339ec74c4ff839c7d982b3306570cf6abfa843abf5f6dcae95bc650a0,RP-02,RP-02,cccf70b339ec74c4ff839c7d982b3306570cf6abfa843abf5f6dcae95bc650a0,OFFLINE_CLIENT_PROJECTION,e2841289-1ed2-4dc4-9acf-dd22a03b63fc,MUTE,mute_cad_999,,mute_cad_999,,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_continuity|client_claims_17,4238,,"CLIENT_SAFE | We are reviewing the papers in your case (Offence Possession of a controlled drug of Class A with intent to supply, contrary to section 5(3) Misuse of Drugs Act 1971). This is early-stage — nothing is final until we have full "
sha:5bcd36e1ef8c3611e43e76cef64bbef75056bc76a812d2857977e8e6cfcd42d9,RP-06,RP-06,5bcd36e1ef8c3611e43e76cef64bbef75056bc76a812d2857977e8e6cfcd42d9,OFFLINE_CLIENT_PROJECTION,d9798c34-1668-4922-8607-fceea52ac765,MUTE,mute_cctv_master,,mute_cctv_master,,,src_charge|src_hearing|src_mg_forms|src_id_procedure|src_parties|src_dates|src_cctv|src_cctv_stills|src_continuity|client_claims_16,4746,,"CLIENT_SAFE | We are reviewing the papers in your case (CB-LEVERAGE-2026-0001.pdf). This is early-stage — nothing is final until we have full disclosure and your instructions. Some evidence is still outstanding on the papers, and we will up"
sha:555a899704fa7c7f77d39dd39f724af3fc187eff5452e1c54bbbed959251d457,RP-03,RP-03,555a899704fa7c7f77d39dd39f724af3fc187eff5452e1c54bbbed959251d457,OFFLINE_CLIENT_PROJECTION,a42cb20a-017b-4dfb-b8a5-1dc5b11a3b27,MUTE,mute_cctv_master,,mute_cctv_master|mute_phone_download|mute_cad_999,,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_continuity|client_claims_18,10795,,"CLIENT_SAFE | We are reviewing the papers in your case (Wounding with intent to cause grievous bodily harm, s.18 OAPA 1861). This is early-stage — nothing is final until we have full disclosure and your instructions. Some evidence is still "
sha:94541fb543b06ca93f7cfc4964d527c900574e7c279e49225ec62af8d4e93871,RP-07,RP-07,94541fb543b06ca93f7cfc4964d527c900574e7c279e49225ec62af8d4e93871,OFFLINE_CLIENT_PROJECTION,f0fe8d7b-1e8f-4f64-a2ba-bde9298d6ef8,INVENT,invent_interview_recording,invent_interview_recording,mute_export_log|mute_phone_download,modality_summary_vs_recording,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_cctv_stills|src_continuity|client_claims_22,1613919,,"CLIENT_SAFE | We are reviewing the papers in your case (Assault occasioning actual bodily harm, s.47 OAPA 1861). This is early-stage — nothing is final until we have full disclosure and your instructions. Some evidence is still outstanding "
sha:ffe7a7da8c00c847a5ddb4ef9752b755ac6474f46b335c43c09e69b6a9041f01,PDF-ffe7a7da8c00,CB-Z-500-THEFT-0012_Theft_from_shop_500_page_bundle,ffe7a7da8c00c847a5ddb4ef9752b755ac6474f46b335c43c09e69b6a9041f01,OFFLINE_CLIENT_PROJECTION,ec02d7dd-b4db-4cfa-b91a-f68cdc0b5c16,INVENT,invent_interview_recording,invent_interview_recording,mute_export_log|mute_phone_download,modality_summary_vs_recording,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_cctv_stills|src_continuity|client_claims_21,1625525,,CLIENT_SAFE | We are reviewing the papers in your case (CB-Z-500-THEFT-0012_Theft_from_shop_500_page_bundle.pdf). This is early-stage — nothing is final until we have full disclosure and your instructions. Some evidence is still outstanding
sha:bc5d732fa9306133c0c7d7fe2ea85a8e7d65a5d1b30a823ac491495839e0a6ef,ISAAC-PATEL-TB-546,CB-TB-546,bc5d732fa9306133c0c7d7fe2ea85a8e7d65a5d1b30a823ac491495839e0a6ef,OFFLINE_CLIENT_PROJECTION,,MODALITY,modality_summary_vs_recording,,mute_cctv_master,modality_summary_vs_recording,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_continuity|client_claims_19,10225,,"CLIENT_SAFE | We are reviewing the papers in your case (Affray, contrary to section 3 Public Order Act 1986). This is early-stage — nothing is final until we have full disclosure and your instructions. Some evidence is still outstanding on "
