unique_key,case_key,source_id,pdf_sha256,route,backend_case_id,severity,fail_family,fail_flags,mute_flags,modality_flags,contradiction_flags,material_flags,source_chars,error,claim_sample
sha:0d761f8d2e28fb89af88968862d6712571f6a13ac5e1233f60a3c9a993a22866,PDF-0d761f8d2e28,CB-Z-500-FRAUD-0029_Fraud_false_representation_500_page_bundle,0d761f8d2e28fb89af88968862d6712571f6a13ac5e1233f60a3c9a993a22866,OFFLINE_COURT_PROJECTION,92aaa621-525b-40ae-9f0d-8e3c1eccc536,INVENT,invent_interview_recording,invent_interview_recording,mute_export_log|mute_phone_download,modality_summary_vs_recording,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_cctv_stills|src_continuity|court_claims_40,1593653,,"SAFE_COURT | The defence asks the court to record outstanding bank/device source and loss material. || SAFE_POSITION | Account control, dishonesty and loss remain provisional pending served bank/device source material. || HEARING | 22 May 2"
sha:37b18da6090e0bdfa330fcddb5cc0d83d6329c7cb641be750c29a09efce58870,PDF-37b18da6090e,CB-MURDER-TEST-0001_1000_page_criminal_defence_bundle,37b18da6090e0bdfa330fcddb5cc0d83d6329c7cb641be750c29a09efce58870,OFFLINE_COURT_PROJECTION,18a50e94-bda1-4e7d-a86b-8adeb5dc19b7,INVENT,invent_interview_recording,invent_interview_recording,mute_export_log|mute_cctv_master,modality_summary_vs_recording,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_cctv_stills|src_continuity|court_claims_40,1322574,,SAFE_COURT | The defence asks the court to record that full custody and interview records remain outstanding. || SAFE_POSITION | Custody/PACE safeguards cannot be finally assessed until the full custody and interview material is served. || 
sha:eeafa8f885e6afc74d3516db5551997bdab0b3cd228114a822813424551e12aa,PDF-eeafa8f885e6,CB-TEST-ABH-0001_criminal_defence_bundle,eeafa8f885e6afc74d3516db5551997bdab0b3cd228114a822813424551e12aa,OFFLINE_COURT_PROJECTION,bd581fec-c0ca-4c06-87bf-ba7ec18664e8,MODALITY,modality_summary_vs_recording,,mute_export_log|mute_cctv_master,modality_summary_vs_recording,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_cctv_stills|src_continuity|court_claims_39,16003,,SAFE_COURT | The defence asks the court to record that full custody and interview records remain outstanding. || SAFE_POSITION | Custody/PACE safeguards cannot be finally assessed until the full custody and interview material is served. || 
sha:cccf70b339ec74c4ff839c7d982b3306570cf6abfa843abf5f6dcae95bc650a0,RP-02,RP-02,cccf70b339ec74c4ff839c7d982b3306570cf6abfa843abf5f6dcae95bc650a0,OFFLINE_COURT_PROJECTION,e2841289-1ed2-4dc4-9acf-dd22a03b63fc,MUTE,mute_cad_999,,mute_cad_999,,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_continuity|court_claims_25,4238,,"SAFE_COURT | The defence asks the court to record outstanding continuity, lab and search/phone material. || SAFE_POSITION | Possession, knowledge, intent and continuity remain provisional pending served drug/source material. || HEARING | 21"
sha:555a899704fa7c7f77d39dd39f724af3fc187eff5452e1c54bbbed959251d457,RP-03,RP-03,555a899704fa7c7f77d39dd39f724af3fc187eff5452e1c54bbbed959251d457,OFFLINE_COURT_PROJECTION,a42cb20a-017b-4dfb-b8a5-1dc5b11a3b27,MUTE,mute_cctv_master,,mute_cctv_master|mute_phone_download|mute_cad_999,,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_continuity|court_claims_36,10795,,SAFE_COURT | The defence asks the court to record that full custody and interview records remain outstanding. || SAFE_POSITION | Custody/PACE safeguards cannot be finally assessed until the full custody and interview material is served. || 
sha:ffe7a7da8c00c847a5ddb4ef9752b755ac6474f46b335c43c09e69b6a9041f01,PDF-ffe7a7da8c00,CB-Z-500-THEFT-0012_Theft_from_shop_500_page_bundle,ffe7a7da8c00c847a5ddb4ef9752b755ac6474f46b335c43c09e69b6a9041f01,OFFLINE_COURT_PROJECTION,ec02d7dd-b4db-4cfa-b91a-f68cdc0b5c16,INVENT,invent_interview_recording,invent_interview_recording,mute_export_log|mute_phone_download,modality_summary_vs_recording,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_cctv_stills|src_continuity|court_claims_40,1625525,,SAFE_COURT | The defence asks the court to record that full custody and interview records remain outstanding. || SAFE_POSITION | Custody/PACE safeguards cannot be finally assessed until the full custody and interview material is served. || 
sha:5bcd36e1ef8c3611e43e76cef64bbef75056bc76a812d2857977e8e6cfcd42d9,RP-06,RP-06,5bcd36e1ef8c3611e43e76cef64bbef75056bc76a812d2857977e8e6cfcd42d9,OFFLINE_COURT_PROJECTION,d9798c34-1668-4922-8607-fceea52ac765,MUTE,mute_cctv_master,,mute_cctv_master,,,src_charge|src_hearing|src_mg_forms|src_id_procedure|src_parties|src_dates|src_cctv|src_cctv_stills|src_continuity|court_claims_28,4746,,SAFE_COURT | The defence asks the court to record that source material must be clarified and timetabled. || SAFE_POSITION | The defence cannot safely fix a final position until the served source material is clarified. || DEADLINE | Hearing 
sha:94541fb543b06ca93f7cfc4964d527c900574e7c279e49225ec62af8d4e93871,RP-07,RP-07,94541fb543b06ca93f7cfc4964d527c900574e7c279e49225ec62af8d4e93871,OFFLINE_COURT_PROJECTION,f0fe8d7b-1e8f-4f64-a2ba-bde9298d6ef8,INVENT,invent_interview_recording,invent_interview_recording,mute_export_log|mute_phone_download,modality_summary_vs_recording,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_cctv_stills|src_continuity|court_claims_40,1613919,,SAFE_COURT | The defence asks the court to record that full custody and interview records remain outstanding. || SAFE_POSITION | Custody/PACE safeguards cannot be finally assessed until the full custody and interview material is served. || 
sha:bc5d732fa9306133c0c7d7fe2ea85a8e7d65a5d1b30a823ac491495839e0a6ef,ISAAC-PATEL-TB-546,CB-TB-546,bc5d732fa9306133c0c7d7fe2ea85a8e7d65a5d1b30a823ac491495839e0a6ef,OFFLINE_COURT_PROJECTION,,MODALITY,modality_summary_vs_recording,,mute_cctv_master,modality_summary_vs_recording,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_continuity|court_claims_33,10225,,"SAFE_COURT | Position remains provisional on the current papers — listed material families are not safely confirmed in the bundle yet. || SAFE_POSITION | Sequence, injury and causation remain provisional pending served witness, medical and "
sha:002f3fc9174aaac7d9f23ee0e8befdbb700c2867f8c5563612c645837fbea4d2,PDF-002f3fc9174a,CB-TB-1074_Marsh,002f3fc9174aaac7d9f23ee0e8befdbb700c2867f8c5563612c645837fbea4d2,OFFLINE_COURT_PROJECTION,,MUTE,mute_phone_download,,mute_phone_download|mute_cad_999,,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_continuity|court_claims_32,6934,,SAFE_COURT | The defence asks the court to record that full BWV and continuity material should be served. || SAFE_POSITION | Sequence and force remain provisional pending served BWV and officer source material. || HEARING | 08 August 2026 a
