case_key,display_name,family_pair,opposite_of,gold_tier,pdf_read,live_output,backend_case_id,mandatory,preview_sha
ARDEN-MONSTER-0001,"Arden Vale / CB-MONSTER-2026-0001","CCTV_stills_vs_master|phone_property_vs_download|interview_summary_vs_recording|CAD_absent|MG6_extract_vs_unused|ID_live|export_log_ABSENT","RP-16-AHMED (export log PRESENT); RP-17-FRESH-BROOKES (download SHOULD chase); RP-13-DUNN (CAD extract served)",GOLD_A,YES_PDF,YES_LIVE,99090c69-5d78-41e3-946d-119b4bc335ba,YES,02d9125473f2413d7079b41b9e0ec596598e4682
ISAAC-PATEL-TB-546,"Isaac Patel / CB-TB-546","CCTV_master_outstanding|interview_summary_vs_recording|CAD_timing_issue|MG11_outstanding|custody_partial","ARDEN (no CAD); RP-09-TRAP (no interview at all)",GOLD_A_PDF,YES_PDF,GAP,,YES,02d9125473f2413d7079b41b9e0ec596598e4682
RP-17-FRESH-BROOKES,"Taylor Brookes Digital Attribution","phone_download_POSITIVE_control|subscriber_gap|screenshot_vs_export","ARDEN (phone=stolen property only; download must NOT promote)",GOLD_A_PDF,YES_PDF,GAP,,NO,02d9125473f2413d7079b41b9e0ec596598e4682
RP-16-AHMED,"Holly Ahmed / CB-TB-1573","export_log_PRESENT|CAD_999_outstanding|phone_subscriber_outstanding|date_mismatch","ARDEN (export log ABSENT in PDF — must not invent)",GOLD_A_PDF,YES_PDF,GAP,,NO,02d9125473f2413d7079b41b9e0ec596598e4682
RP-13-DUNN,"Ellis Dunn / CB-TB-343","CAD_extract_served|999_audio_outstanding|BWV_stills_served|CCTV_stills|interview_transcript_outstanding","ARDEN (no CAD/999); RP-02-GRANT (CAD extract present similarly)",GOLD_A_PDF,YES_PDF,GAP,,NO,02d9125473f2413d7079b41b9e0ec596598e4682
RP-03-TOBIN,"Imani Tobin / CB-TB-1925","phone_download_referenced_only|CAD_999_extract|BWV_outstanding|CCTV_master_part","RP-17 (download expressly outstanding to chase); ARDEN (no phone digital)",GOLD_A_PDF,YES_PDF,GAP,,NO,02d9125473f2413d7079b41b9e0ec596598e4682
RP-02-GRANT,"Grant / CB-TB-1681","phone_download_partial|subscriber_partial|CAD_999_present|BWV_listed","ARDEN (no download); RP-17 (download full outstanding)",GOLD_A_PDF,YES_PDF,GAP,,NO,02d9125473f2413d7079b41b9e0ec596598e4682
RP-06-LEVERAGE,"CB-LEVERAGE-2026-0001","ID_live_vs_weak_CCTV|CCTV_master_outstanding|ID_procedure_outstanding","RP-09-TRAP (thin invent risk); ARDEN (ID also live)",GOLD_A_PDF,YES_PDF,GAP,,NO,02d9125473f2413d7079b41b9e0ec596598e4682
RP-09-TRAP-0030,"CB-TRAP-2026-0030 hallucination trap","interview_ABSENT|do_not_invent_CCTV|MG6_thin","PATEL / ARDEN (interview summary present)",GOLD_A_PDF,YES_PDF,GAP,,NO,02d9125473f2413d7079b41b9e0ec596598e4682
RP-08-OCR-0013,"CB-OCR-2026-0013 phone screenshot OCR","phone_screenshot_vs_extraction|CCTV_master_not_verified","RP-17 (download/export modality); ARDEN (property phone)",GOLD_A_PDF,YES_PDF,GAP,,NO,02d9125473f2413d7079b41b9e0ec596598e4682
CB-CHARGE-2026-0001,"Charge smoke Theft Morgan Blake","thin_file_no_invent|interview_summary_only","MONSTER stress bundles",GOLD_B_PDF,YES_PDF,GAP,,NO,02d9125473f2413d7079b41b9e0ec596598e4682
CB-CHARGE-2026-0039,"Charge smoke road traffic","thin_motoring_no_invent_CCTV_device","RP-13 (rich CCTV/CAD mix)",GOLD_B_PDF,YES_PDF,GAP,,NO,02d9125473f2413d7079b41b9e0ec596598e4682
MONSTER-0002,"CB-MONSTER-2026-0002 Blake Holt","duplicate_MG5|CCTV_original_outstanding|wrong_label","ARDEN (robbery CCTV stills/master pattern)",GOLD_B_PDF,YES_PDF,GAP,,NO,02d9125473f2413d7079b41b9e0ec596598e4682
MONSTER-0003,"CB-MONSTER-2026-0003","monster_stress_CCTV_interview_mix","CHARGE thin controls",GOLD_B_PDF,YES_PDF,GAP,,NO,02d9125473f2413d7079b41b9e0ec596598e4682
RP-04-VALE039,"CB-TB-039 Vale","interview_custody_continuity|theft_robbery_layout","ARDEN (same surname unrelated)",GOLD_B_PDF,YES_PDF,GAP,,NO,02d9125473f2413d7079b41b9e0ec596598e4682
RP-10-PATTERSON,"CB-TB-014 James Patterson","CAD_weapons_hearing|blind_bundle","ARDEN (no CAD)",GOLD_B_PDF,YES_PDF,GAP,,NO,02d9125473f2413d7079b41b9e0ec596598e4682
RP-15-DAVIES,"CB-TB-439 Davies","MG6_MG11_proceeds|download_mention|co_defendant","RP-17 digital attribution focus",GOLD_B_PDF,YES_PDF,GAP,,NO,02d9125473f2413d7079b41b9e0ec596598e4682
CASE-01-PHONE-HARASSMENT,"demo-audit-01 phone harassment (bundle-text)","phone_download_POSITIVE_control","ARDEN phone property negative",GOLD_B_BUNDLE_TEXT,YES_BUNDLE_TEXT,GAP,,NO,02d9125473f2413d7079b41b9e0ec596598e4682
CASE-04-CCTV-STILLS,"demo-audit-02 CCTV stills vs master","CCTV_stills_vs_master","RP-16 export-log present",GOLD_B_BUNDLE_TEXT,YES_BUNDLE_TEXT,GAP,,NO,02d9125473f2413d7079b41b9e0ec596598e4682
CASE-02-BWV-REFERRED,"demo-audit-03 BWV referred-only","BWV_referred_only_modality","RP-13 BWV stills served",GOLD_B_BUNDLE_TEXT,YES_BUNDLE_TEXT,GAP,,NO,02d9125473f2413d7079b41b9e0ec596598e4682
