unique_key,case_key,source_id,pdf_sha256,route,backend_case_id,severity,fail_family,fail_flags,mute_flags,modality_flags,contradiction_flags,material_flags,source_chars,error,claim_sample
sha:0d761f8d2e28fb89af88968862d6712571f6a13ac5e1233f60a3c9a993a22866,PDF-0d761f8d2e28,CB-Z-500-FRAUD-0029_Fraud_false_representation_500_page_bundle,0d761f8d2e28fb89af88968862d6712571f6a13ac5e1233f60a3c9a993a22866,OFFLINE_PAPERS_PROJECTION,92aaa621-525b-40ae-9f0d-8e3c1eccc536,MUTE,mute_phone_download,,mute_phone_download,,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_cctv_stills|src_continuity|papers_materials_40,1593653,,"HEARING_ISO | 2026-05-22T09:00:00.000Z || HEARING | 22 May 2026 at 10:00 || CHARGE | Fraud by false representation, s.2 Fraud Act 2006"
sha:37b18da6090e0bdfa330fcddb5cc0d83d6329c7cb641be750c29a09efce58870,PDF-37b18da6090e,CB-MURDER-TEST-0001_1000_page_criminal_defence_bundle,37b18da6090e0bdfa330fcddb5cc0d83d6329c7cb641be750c29a09efce58870,OFFLINE_PAPERS_PROJECTION,18a50e94-bda1-4e7d-a86b-8adeb5dc19b7,MUTE,mute_export_log,,mute_export_log,,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_cctv_stills|src_continuity|papers_materials_40,1322574,,"HEARING_ISO | 2026-05-22T09:00:00.000Z || HEARING | 22 May 2026 at 10:00 || CHARGE | Murder, contrary to common law"
sha:e9fbf463f6aec6f229ea0ada385df91a26ae6a5d1be009337bc995965dc4441c,PDF-e9fbf463f6ae,CB-TB-16_Kian_Doyle,e9fbf463f6aec6f229ea0ada385df91a26ae6a5d1be009337bc995965dc4441c,OFFLINE_PAPERS_PROJECTION,50cc0470-198e-4334-ae55-ca913bf02fae,MUTE,mute_phone_download,,mute_phone_download,,,src_charge|src_hearing|src_mg_forms|src_cctv_stills|src_continuity|papers_materials_32,7202,,"HEARING_ISO | 2026-06-26T09:00:00.000Z || HEARING | 26 June 2026 at 10:00 || CHARGE | Possession of a controlled drug of Class A with intent to supply, namely cocaine, contrary to section 5(3)"
sha:eeafa8f885e6afc74d3516db5551997bdab0b3cd228114a822813424551e12aa,PDF-eeafa8f885e6,CB-TEST-ABH-0001_criminal_defence_bundle,eeafa8f885e6afc74d3516db5551997bdab0b3cd228114a822813424551e12aa,OFFLINE_PAPERS_PROJECTION,bd581fec-c0ca-4c06-87bf-ba7ec18664e8,MODALITY,modality_summary_vs_recording,,mute_export_log|mute_cctv_master,modality_summary_vs_recording,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_cctv_stills|src_continuity|papers_materials_40,16003,,"HEARING_ISO | 2026-05-21T09:00:00.000Z || HEARING | 21 May 2026 at 10:00 || CHARGE | Assault occasioning actual bodily harm, s.47"
sha:cccf70b339ec74c4ff839c7d982b3306570cf6abfa843abf5f6dcae95bc650a0,RP-02,RP-02,cccf70b339ec74c4ff839c7d982b3306570cf6abfa843abf5f6dcae95bc650a0,OFFLINE_PAPERS_PROJECTION,e2841289-1ed2-4dc4-9acf-dd22a03b63fc,MUTE,mute_phone_download,,mute_phone_download,,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_continuity|papers_materials_21,4238,,"HEARING_ISO | 2026-06-21T10:00:00.000Z || HEARING | 21 June 2026 at 11:00 || CHARGE | Offence Possession of a controlled drug of Class A with intent to supply, contrary to section 5(3) Misuse of Drugs Act 1971"
sha:555a899704fa7c7f77d39dd39f724af3fc187eff5452e1c54bbbed959251d457,RP-03,RP-03,555a899704fa7c7f77d39dd39f724af3fc187eff5452e1c54bbbed959251d457,OFFLINE_PAPERS_PROJECTION,a42cb20a-017b-4dfb-b8a5-1dc5b11a3b27,MUTE,mute_phone_download,,mute_phone_download,,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_continuity|papers_materials_36,10795,,"HEARING_ISO | 2026-09-08T09:45:00.000Z || HEARING | 08 September 2026 10:45 || CHARGE | Wounding with intent to cause grievous bodily harm, s.18 OAPA 1861"
sha:ffe7a7da8c00c847a5ddb4ef9752b755ac6474f46b335c43c09e69b6a9041f01,PDF-ffe7a7da8c00,CB-Z-500-THEFT-0012_Theft_from_shop_500_page_bundle,ffe7a7da8c00c847a5ddb4ef9752b755ac6474f46b335c43c09e69b6a9041f01,OFFLINE_PAPERS_PROJECTION,ec02d7dd-b4db-4cfa-b91a-f68cdc0b5c16,MUTE,mute_phone_download,,mute_phone_download,,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_cctv_stills|src_continuity|papers_materials_40,1625525,,HEARING_ISO | 2026-05-22T09:00:00.000Z || HEARING | 22 May 2026 at 10:00 || / missing staff MG11 remains live; several schedules are draft/corrected/outdated. | draft | / missing staff MG11 remains live; several schedules are draft/correcte
sha:94541fb543b06ca93f7cfc4964d527c900574e7c279e49225ec62af8d4e93871,RP-07,RP-07,94541fb543b06ca93f7cfc4964d527c900574e7c279e49225ec62af8d4e93871,OFFLINE_PAPERS_PROJECTION,f0fe8d7b-1e8f-4f64-a2ba-bde9298d6ef8,MUTE,mute_phone_download,,mute_phone_download,,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_cctv_stills|src_continuity|papers_materials_40,1613919,,"HEARING_ISO | 2026-05-22T09:00:00.000Z || HEARING | 22 May 2026 at 10:00 || CHARGE | Assault occasioning actual bodily harm, s.47 OAPA 1861"
sha:bc5d732fa9306133c0c7d7fe2ea85a8e7d65a5d1b30a823ac491495839e0a6ef,ISAAC-PATEL-TB-546,CB-TB-546,bc5d732fa9306133c0c7d7fe2ea85a8e7d65a5d1b30a823ac491495839e0a6ef,OFFLINE_PAPERS_PROJECTION,,MODALITY,modality_summary_vs_recording,,,modality_summary_vs_recording,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_continuity|papers_materials_40,10225,,"HEARING_ISO | 2026-08-25T09:30:00.000Z || HEARING | 25 August 2026 10:30 || CHARGE | Affray, contrary to section 3 Public Order Act 1986"
sha:002f3fc9174aaac7d9f23ee0e8befdbb700c2867f8c5563612c645837fbea4d2,PDF-002f3fc9174a,CB-TB-1074_Marsh,002f3fc9174aaac7d9f23ee0e8befdbb700c2867f8c5563612c645837fbea4d2,OFFLINE_PAPERS_PROJECTION,,MUTE,mute_phone_download,,mute_phone_download,,,src_charge|src_hearing|src_mg_forms|src_parties|src_dates|src_cctv|src_continuity|papers_materials_37,6934,,"HEARING_ISO | 2026-08-08T08:30:00.000Z || HEARING | 08 August 2026 at 09:30 || CHARGE | Assault by beating of an emergency worker, contrary to section 1 Assaults on Emergency Workers (Offences)"
